"id","branch_id","market","market_kh","province","province_kh","district","district_kh","commune","commune_kh","village","village_kh","latitude","longitude","google_maps_url"
"318","Center1","Phsar Leu","ផ្សារលើ","Preah Sihanouk","ព្រះសីហនុ","Preah Sihanouk Municipality","ក្រុងព្រះសីហនុ","","","","","10.624377","103.529962","https://www.google.com/maps?q=10.624377,103.529962"
"319","SPE01","Trapeang Kraleoung Markit","ផ្សារត្រពាំងក្រឡឹង","Kampong Speu","កំពង់ស្ពឺ","Phnum Sruoch","ភ្នំស្រួច","","","","","11.389037","104.378465","https://www.google.com/maps?q=11.389037,104.378465"
"320","THO02","Krava","ផ្សារក្រវ៉ា","Kampong Thom","កំពង់ធំ","Baray","បារាយណ៍","Baray","បារាយណ៍","Baray Thum","បារាយណ៍ធំ","12.473184","105.243839","https://www.google.com/maps?q=12.473184,105.243839"
"321","PNP05","Phsar Tang Kor Sang Thmey","ផ្សារ តាង កូរ សាង ថ្មី","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","","","","","11.561993","104.841631","https://www.google.com/maps?q=11.561993,104.841631"
"322","PRE","Chrey Phsar","ផ្សារជ្រៃ ផ្សារ","Prey Veng","ព្រៃវែង","Svay Antor","ស្វាយអន្ទរ","Svay Antor","ស្វាយអន្ទរ","Svay Antor Ti Pir","ស្វាយអន្ទរទី ២","11.564102","105.526874","https://www.google.com/maps?q=11.564102,105.526874"
"323","SPE03","Angmetrey","ផ្សារាងមេត្រេយ","Kampong Speu","កំពង់ស្ពឺ","Kong Pisei","គងពិសី","","","","","11.434182","104.655121","https://www.google.com/maps?q=11.434182,104.655121"
"324","PNP07","Runteas Banh Market","ផ្សាររុនតេាស បាញ","Phnom Penh Capital","រាជធានីភ្នំពេញ","Chamkar Mon Khan","ខណ្ឌចំការមន","","","","","11.543104","104.929421","https://www.google.com/maps?q=11.543104,104.929421"
"325","PNP08","Ekreach 3","ផ្សារេក្រេាច 3","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","Chaom Chau 1 Sangkat","សង្កាត់ចោមចៅទី១","Chaom Chau 1","ចោមចៅ១","11.533538","104.87707","https://www.google.com/maps?q=11.533538,104.87707"
"326","PRH03","Peaksbaek","ផ្សារពាក់ស្បែក","Preah Vihear","ព្រះវិហារ","Choam Ksant","ជាំក្សាន្ដ","Choam Ksant","ជាំក្សាន្ដ","Choam Ksant","ជាំក្សាន្ដ","14.172813","104.78687","https://www.google.com/maps?q=14.172813,104.78687"
"327","CHH01","Baribo Market","ផ្សារបរិបូណ៌","Kampong Chhnang","កំពង់ឆ្នាំង","Kampong Chhnang Municipality","ក្រុងកំពង់ឆ្នាំង","Kampong Chhnang Sangkat","សង្កាត់កំពង់ឆ្នាំង","","","12.383538","104.487062","https://www.google.com/maps?q=12.383538,104.487062"
"328","CHA01","Big Market Kampong Cham","ផ្សារធំកំពង់ចាម","Kampong Cham","កំពង់ចាម","Kampong Cham Municipality","ក្រុងកំពង់ចាម","Kampong Cham Sangkat","សង្កាត់កំពង់ចាម","","","11.991255","105.46486","https://www.google.com/maps?q=11.991255,105.46486"
"329","BAT01","Beng Chuk Market","ផ្សារបឹង ឈូក","Battambang","បាត់ដំបង","Battambang Municipality","ក្រុងបាត់ដំបង","","","","","13.105168","103.19396","https://www.google.com/maps?q=13.105168,103.19396"
"330","PNP04","Sensok Market","ផ្សារសែនសុខ","Phnom Penh Capital","រាជធានីភ្នំពេញ","Saensokh Khan","ខណ្ឌសែនសុខ","Khmuonh Sangkat","សង្កាត់ឃ្មួញ","Saen Sokh Ti Prammuoy","សែនសុខទី៦","11.619188","104.845263","https://www.google.com/maps?q=11.619188,104.845263"
"331","KAN","Prek Russey Market","ផ្សារព្រែកឫស្សី","Kandal","កណ្ដាល","Ta Khmau Municipality","ក្រុងតាខ្មៅ","Prek Ruessey Sangkat","សង្កាត់ព្រែកឫស្សី","Prek Ruessey","ព្រែកឫស្សី","11.469714","104.936582","https://www.google.com/maps?q=11.469714,104.936582"
"332","CHA03","Phnomdel Market","ផ្សារភ្នំដេល","Kampong Cham","កំពង់ចាម","Batheay","បាធាយ","Batheay","បាធាយ","Batheay","បាធាយ","11.885425","104.936005","https://www.google.com/maps?q=11.885425,104.936005"
"333","CHA11","Mesor Chrey Market","ផ្សារមេសូរ ជ្រៃ","Kampong Cham","កំពង់ចាម","Stueng Trang","ស្ទឹងត្រង់","Me Sar Chrey","មេសរជ្រៃ","","","12.299504","105.418101","https://www.google.com/maps?q=12.299504,105.418101"
"334","Center1","China Market","ផ្សារចីនា","Preah Sihanouk","ព្រះសីហនុ","Preah Sihanouk Municipality","ក្រុងព្រះសីហនុ","","","","","10.623506","103.53214","https://www.google.com/maps?q=10.623506,103.53214"
"335","KAN","Koh Khel Market","ផ្សារកោះខែល","Kandal","កណ្ដាល","S'ang","ស្អាង","S'ang Phnum","ស្អាងភ្នំ","","","11.267506","105.027665","https://www.google.com/maps?q=11.267506,105.027665"
"336","PUR01","07 Market","ផ្សារ០៧","Pursat","ពោធិ៍សាត់","Veal Veaeng","វាលវែង","","","","","12.376718","103.357554","https://www.google.com/maps?q=12.376718,103.357554"
"337","Center01","Kon Moum","ផ្សារកូន មអូម","Ratanak Kiri","រតនគិរី","Koun Mom","កូនមុំ","","","","","13.57988","106.771876","https://www.google.com/maps?q=13.57988,106.771876"
"338","Center2","Veal Renh Market","ផ្សារវាលរេញ","Preah Sihanouk","ព្រះសីហនុ","Prey Nob","ព្រៃនប់","Veal Renh","វាលរេញ","Veal Thum","វាលធំ","10.704195","103.815788","https://www.google.com/maps?q=10.704195,103.815788"
"339","KAM04","Trapeang Kouw  Market","ផ្សារត្រពាំងគោ","Kampot","កំពត","Chhuk","ឈូក","Chhuk","ឈូក","","","10.855104","104.489442","https://www.google.com/maps?q=10.855104,104.489442"
"340","KAN","Prakkuol Market","ផ្សារប្រកួល","Kandal","កណ្ដាល","Kaoh Thum","កោះធំ","Kaoh Thum Ka","កោះធំ ‹ក›","Kbal Kaoh Thum","ក្បាលកោះធំ","11.183207","105.074655","https://www.google.com/maps?q=11.183207,105.074655"
"341","BAT01","Nart Market","ផ្សារនារត","Battambang","បាត់ដំបង","Battambang Municipality","ក្រុងបាត់ដំបង","","","","","13.102094","103.197454","https://www.google.com/maps?q=13.102094,103.197454"
"342","SIE01","Huy Leng 909Market ( Small Market In Province)","ផ្សារហុយ លេង ៩០៩Market","Siemreap","សៀមរាប","Siem Reap Municipality","ក្រុងសៀមរាប","Siem Reab Sangkat","សង្កាត់សៀមរាប","","","13.359773","103.849731","https://www.google.com/maps?q=13.359773,103.849731"
"343","SIE01","Srei Snam","ផ្សារស្រីស្នំ","Siemreap","សៀមរាប","Srei Snam","ស្រីស្នំ","","","","","13.827717","103.51566","https://www.google.com/maps?q=13.827717,103.51566"
"344","KOH01","Phum Tmey Market","ផ្សារផុម ថ្មី","Koh Kong","កោះកុង","Mondol Seima","មណ្ឌលសីមា","","","","","11.642329","102.922731","https://www.google.com/maps?q=11.642329,102.922731"
"345","BAN02","Phsar Phnom Thom","ផ្សារ ផនូម ធំ","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Ou Prasat","អូរប្រាសាទ","Ou Prasat","អូរប្រាសាទ","13.444357","103.014036","https://www.google.com/maps?q=13.444357,103.014036"
"346","PNP09","New Town Odem Market","ផ្សារនេវ តូវន ូដេម","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","","","","","11.52491","104.797748","https://www.google.com/maps?q=11.52491,104.797748"
"347","TAK01","Takeo Market","ផ្សារតាកែវ","Takeo","តាកែវ","Doun Kaev Municipality","ក្រុងដូនកែវ","","","","","10.980964","104.777952","https://www.google.com/maps?q=10.980964,104.777952"
"348","KAN","Prahprosob Market","ផ្សារព្រះប្រសប់","Kandal","កណ្ដាល","Khsach Kandal","ខ្សាច់កណ្ដាល","Sithor","ស៊ីធរ","","","11.77391","105.026586","https://www.google.com/maps?q=11.77391,105.026586"
"349","BAT08","Meanchey Market","ផ្សារមានជ័យ","Battambang","បាត់ដំបង","Samlout","សំឡូត","Samlout","សំឡូត","Samlout","សំឡូត","12.721165","102.868004","https://www.google.com/maps?q=12.721165,102.868004"
"350","KAN","Prek Ambel Market","ផ្សារព្រែកអំបិល","Kandal","កណ្ដាល","S'ang","ស្អាង","Preaek Ambel","ព្រែកអំបិល","Preaek Ambil","ព្រែកអំបិល","11.244677","105.024743","https://www.google.com/maps?q=11.244677,105.024743"
"351","PNP08","Chip Mong Super Market","ផ្សារ Chip Mong","Phnom Penh Capital","រាជធានីភ្នំពេញ","Pur SenChey Khan","ខណ្ឌពោធិ៍សែនជ័យ","","","","","11.520977","104.87016","https://www.google.com/maps?q=11.520977,104.87016"
"352","SPE02","Samrong Market","ផ្សារសំរោង","Kampong Speu","កំពង់ស្ពឺ","Thpong","ថ្ពង","","","","","11.730492","104.561507","https://www.google.com/maps?q=11.730492,104.561507"
"353","CHH02","Krang Sramor Market","ផ្សារក្រាំងស្រមរ","Kampong Chhnang","កំពង់ឆ្នាំង","Sameakki Mean Chey","សាមគ្គីមានជ័យ","","","","","11.775874","104.564185","https://www.google.com/maps?q=11.775874,104.564185"
"354","BAT02","Banan Market","ផ្សារបាណន់","Battambang","បាត់ដំបង","Banan","បាណន់","Kantueu Pir","កន្ទឺ ២","Post Kantueu","ប៉ុស្ដិកន្ទឺ","12.946227","103.142605","https://www.google.com/maps?q=12.946227,103.142605"
"355","SPE03","Roka Koh","ផ្សាររូកា កូហ","Kampong Speu","កំពង់ស្ពឺ","Kong Pisei","គងពិសី","","","","","11.408921","104.688935","https://www.google.com/maps?q=11.408921,104.688935"
"356","BAN01","Phsa Thmey Phnom Toch","ផ្សារ ថ្មី ផនូម តូច","Banteay Meanchey","បន្ទាយមានជ័យ","Mongkol Borei","មង្គលបូរី","Phnum Touch","ភ្នំតូច","Phnum Touch Tboung","ភ្នំតូចត្បូង","13.411577","103.017309","https://www.google.com/maps?q=13.411577,103.017309"
"357","CHH01","Psar Phoum Chas Market","ផ្សារ ផអូម ចាស់","Kampong Chhnang","កំពង់ឆ្នាំង","Tuek Phos","ទឹកផុស","Krang Skear","ក្រាំងស្គារ","Krang Skear","ក្រាំងស្គារ","12.110922","104.585728","https://www.google.com/maps?q=12.110922,104.585728"
"358","TAK03","Thnol Tortoeng Market","ផ្សារថ្នល់ តូរតូេង","Takeo","តាកែវ","Samraong","សំរោង","Samraong","សំរោង","Samraong","សំរោង","11.145004","104.776344","https://www.google.com/maps?q=11.145004,104.776344"
"359","KAM01","Dong Tong Market","ផ្សារដូង តូង","Kampot","កំពត","Dang Tong","ដងទង់","Dang Tong","ដងទង់","","","10.702586","104.447305","https://www.google.com/maps?q=10.702586,104.447305"
"360","KAN","Korm Phong Phnom","ផ្សារកូរម ផូង ផនូម","Kandal","កណ្ដាល","Leuk Daek","លើកដែក","Sandar","សណ្ដារ","Kandal","កណ្ដាល","11.281363","105.264982","https://www.google.com/maps?q=11.281363,105.264982"
"361","PRH02","Try Pheap","ផ្សារត្រយ ផេាព","Preah Vihear","ព្រះវិហារ","Rovieng","រវៀង","Robieb","របៀប","Rovieng Cheung","រវៀងជើង","13.188378","105.040624","https://www.google.com/maps?q=13.188378,105.040624"
"362","SIE02","Ta Ni Market","ផ្សារតានី","Siemreap","សៀមរាប","Siem Reap Municipality","ក្រុងសៀមរាប","Siem Reab Sangkat","សង្កាត់សៀមរាប","","","13.474861","104.018307","https://www.google.com/maps?q=13.474861,104.018307"
"363","KAN","Ruseydach Market","ផ្សាររុសេយដាច","Kandal","កណ្ដាល","S'ang","ស្អាង","Preaek Ambel","ព្រែកអំបិល","Preaek Ambil","ព្រែកអំបិល","11.221961","105.031715","https://www.google.com/maps?q=11.221961,105.031715"
"364","KAN","Prek Khlouk Market","ផ្សារព្រែកខ្លូក","Kandal","កណ្ដាល","S'ang","ស្អាង","Kaoh Khsach Tonlea","កោះខ្សាច់ទន្លា","Kandal Kaoh","កណ្ដាលកោះ","11.319403","105.064205","https://www.google.com/maps?q=11.319403,105.064205"
