"No","ID","EN name","KH name","province_id","province_en","province_kh","district_id","district_en","district_kh","district_id","commune_","commune_","commune"
"61","9061","Phsar Samaki Stung Treng","ផ្សារសាមគ្គីស្ទឹងត្រែង","19","Stung Treng","ស្ទឹងត្រែង","1904","Stueng Traeng","ស្ទឹងត្រែង","1904","190401","Stueng Traeng","ស្ទឹងត្រែង"
"62","9062","Banlung Market","ផ្សារបានលុង","16","Ratanak Kiri","រតនគិរី","1602","Ban Lung","បានលុង","1602","160204","Boeng Kansaeng","បឹងកន្សែង"
"63","9063","Ratanakiri Market","ផ្សារបានលុង","16","Ratanak Kiri","រតនគិរី","1602","Ban Lung","បានលុង","1602","160204","Boeng Kansaeng","បឹងកន្សែង"
"64","9064","Sen Monorom Market","ផ្សារសែនមនោរម្យ","11","Mondul Kiri","មណ្ឌលគិរី","1105","Saen Monourom","សែនមនោរម្យ","1105","110501","Monourom","មនោរម្យ"
"65","9065","Mondulkiri Market","ផ្សារសែនមនោរម្យ","11","Mondul Kiri","មណ្ឌលគិរី","1105","Saen Monourom","សែនមនោរម្យ","1105","110501","Monourom","មនោរម្យ"
"66","9066","Tbeng Meanchey Market","ផ្សារត្បែងមានជ័យ","13","Preah Vihear","ព្រះវិហារ","1307","Tbaeng Mean Chey","ត្បែងមានជ័យ","1307","130705","Prame","ប្រមេរុ"
"67","9067","Preah Vihear Market","ផ្សារត្បែងមានជ័យ","13","Preah Vihear","ព្រះវិហារ","1307","Tbaeng Mean Chey","ត្បែងមានជ័យ","1307","130705","Prame","ប្រមេរុ"
"68","9070","Prek Chrey Market","ផ្សារព្រែកជ្រៃ","12","Phnom Penh","ភ្នំពេញ","1205","Dangkao","ដង្កោ","1205","120501","Dangkao","ដង្កោ"
"69","9071","Chbar Ampov Market","ផ្សារច្បារអំពៅ","12","Phnom Penh","ភ្នំពេញ","1212","Chbar Ampov","ច្បារអំពៅ","1212","121201","Chhbar Ampov Ti Muoy","ច្បារអំពៅទី ១"
"70","9080","Phsar Moan Ang int.","ស្តុប ផ្សារមាន់អាំង","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120408","Boeng Kak Ti Pir","បឹងកក់ទី ២"
"71","9081","Kbal Knol Market","","12","Phnom Penh","ភ្នំពេញ","1212","Chbar Ampov","ច្បារអំពៅ","1212","121202","Chbar Ampov Ti Pir","ច្បារអំពៅទី ២"
"72","9083","Sydney super market (closed)","","12","Phnom Penh","ភ្នំពេញ","1203","Prampir Meakkakra","៧មករា","1203","120305","Monourom","មនោរម្យ"
"73","9085","Bayon Market","ផ្សារបាយ័ន","12","Phnom Penh","ភ្នំពេញ","1203","Prampir Meakkakra","៧មករា","1203","120305","Monourom","មនោរម្យ"
"74","9087","Beltei International School 8 (Pochentong Market Campus)","សាលាប៊ែលធីអន្តរជាតិ ទី៨ (សាខាផ្សារពោធិ៍ចិនតុង)","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120917","Kakab 1","កាកាបទី១"
"75","9089","Thai Huot Market","","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120408","Boeng Kak Ti Pir","បឹងកក់ទី ២"
"76","9096","Angkor Market","","12","Phnom Penh","ភ្នំពេញ","1201","Chamkar Mon","ចំការមន","1201","120111","Boeng Trabaek","បឹងត្របែក"
"77","9097","Thai Huot Market","ផ្សារថៃហួត","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120204","Boeng Reang","បឹងរាំង"
"78","9104","Phsar Chhbar Ampov","ផ្សារច្បារអំពៅ","12","Phnom Penh","ភ្នំពេញ","1212","Chbar Ampov","ច្បារអំពៅ","1212","121201","Chhbar Ampov Ti Muoy","ច្បារអំពៅទី ១"
"79","9105","Phsar Boeung Keng Kang","ផ្សារបឹងកេងកង","12","Phnom Penh","ភ្នំពេញ","1213","Boeng Keng Kang","បឹងកេងកង","1213","121301","Boeng Keng Kang Ti Muoy","បឹងកេងកងទី ១"
"80","9106","Phsar Depo","ផ្សារដេប៉ូ","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120404","Tuek L'ak Ti Muoy","ទឹកល្អក់ទី ១"
"81","9107","Phsar Kandal","ផ្សារកណ្តាល","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120211","Voat Phnum","វត្ដភ្នំ"
"82","9108","Phsar Century Plaza","ផ្សារសិនធូរីផ្លាហ្សា","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120917","Kakab 1","កាកាបទី១"
"83","9109","Makro Sen Sok","ផ្សារម៉ាក្រូ សែនសុខ","12","Phnom Penh","ភ្នំពេញ","1208","Saensokh","សែនសុខ","1208","120801","Phnom Penh Thmei","ភ្នំពេញថ្មី"
"84","9110","Global House Phnom Penh","ផ្សារហ្គ្លូប៊ល ហៅស៍","12","Phnom Penh","ភ្នំពេញ","1208","Saensokh","សែនសុខ","1208","120801","Phnom Penh Thmei","ភ្នំពេញថ្មី"
"85","9111","K-Mall Veng Sreng","ផ្សារ K-Mall វេងស្រេង","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120901","Trapeang Krasang","ត្រពាំងក្រសាំង"
"86","9112","Lucky Supermarket Sihanoukville","ផ្សារឡាក់គី ព្រះសីហនុ","18","Preah Sihanouk","ព្រះសីហនុ","1801","Preah Sihanouk","ព្រះសីហនុ","1801","120209","Phsar Chas","ផ្សារចាស់"
"87","9113","Phsar Samaki Siem Reap","ផ្សារសាមគ្គី សៀមរាប","17","Siemreap","សៀមរាប","1710","Siem Reap","សៀមរាប","1710","171009","Siem Reab","សៀមរាប"
"88","9114","Phsar Phnea Chey Siem Reap","ផ្សារភ្ញារជ័យ សៀមរាប","17","Siemreap","សៀមរាប","1710","Siem Reap","សៀមរាប","1710","171009","Siem Reab","សៀមរាប"
"89","9115","Phsar Bek Chan","ផ្សារបែកចាន","08","Kandal","កណ្តាល","0808","Angk Snuol","អង្គស្នួល","0808","080809","Mkak","ម្កាក់"
"90","9116","Phsar Ang Snuol","ផ្សារអង្គស្នួល","08","Kandal","កណ្តាល","0808","Angk Snuol","អង្គស្នួល","0808","080809","Mkak","ម្កាក់"
"91","9117","Phsar Udong","ផ្សារឧដុង្គ","05","Kampong Speu","កំពង់ស្ពឺ","0509","Odongk Maechay","ឧដុង្គម៉ែជ័យ","0509","050903","Trach Tong","ត្រាចទង"
"92","9118","Phsar Skun","ផ្សារស្កុន","03","Kampong Cham","កំពង់ចាម","0303","Cheung Prey","ជើងព្រៃ","0303","030308","Soutib","សូទិព្វ"
"93","9119","Phsar Suong","ផ្សារសួង","25","Tboung Khmum","ត្បូងឃ្មុំ","2506","Suong","សួង","2506","250601","Suong","សួង"
"94","9120","Phsar Neak Loeung","ផ្សារអ្នកលឿង","14","Prey Veng","ព្រៃវែង","1407","Peam Ro","ពាមរក៍","1407","140705","Peam Ro","ពាមរក៍"
"95","9121","Sangkat Phsar Chas","សង្កាត់ផ្សារចាស់","12","Phnom Penh","ភ្នំពេញ","1202","Doun Penh","ដូនពេញ","1202","120209","Phsar Chas","ផ្សារចាស់"
"96","9122","Sangkat Phsar Depou Ti Muoy","សង្កាត់ផ្សារដេប៉ូទី ១","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120209","Phsar Chas","ផ្សារចាស់"
"97","9123","Sangkat Phsar Depou Ti Pir","សង្កាត់ផ្សារដេប៉ូទី ២","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120209","Phsar Chas","ផ្សារចាស់"
"98","9124","Sangkat Phsar Depou Ti Bei","សង្កាត់ផ្សារដេប៉ូទី ៣","12","Phnom Penh","ភ្នំពេញ","1203","Prampir Meakkakra","៧មករា","1203","120307","Veal Vong","វាលវង់"
"99","9125","Sangkat Phsar Daeum Kor","សង្កាត់ផ្សារដើមគរ","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120209","Phsar Chas","ផ្សារចាស់"
"100","9126","Phum Phsar Teuk Thla","ភូមិផ្សារទឹកថ្លា","12","Phnom Penh","ភ្នំពេញ","1208","Saensokh","សែនសុខ","1208","120802","Tuek Thla","ទឹកថ្លា"
"101","9127","Phum Phsar Kamboul","ភូមិផ្សារកំបូល","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120916","Chaom Chau 3","ចោមចៅទី៣"
"102","9128","Un Vichet Market","ផ្សារអ៊ុនវិចិត្រ","12","Phnom Penh","ភ្នំពេញ","1204","Tuol Kouk","ទួលគោក","1204","120408","Boeng Kak Ti Pir","បឹងកក់ទី ២"
"103","9129","ផ្សារទួលពង្រ ចោមចៅ","ផ្សារទួលពង្រ ចោមចៅ","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120901","Trapeang Krasang","ត្រពាំងក្រសាំង"
"104","9130","Orng Market","","12","Phnom Penh","ភ្នំពេញ","1209","Pur SenChey","ពោធិ៍សែនជ័យ","1209","120916","Chaom Chau 3","ចោមចៅទី៣"
